,Goal 9 Score,Goal 3 Score
0,76.1,89.7
1,10.8,77.72500000000001
2,10.6,67.46875
3,44.2,72.0515625
4,21.3,73.31367187500001
5,93.5,78.33525390625002
6,40.7,80.22644042968751
7,76.5,82.21983032226564
8,10.5,73.36487274169923
9,21.4,68.04865455627443
10,72.7,73.81149091720582
11,34.5,71.85861818790437
12,86.4,77.24396364092829
13,21.7,75.8079727306962
14,73.7,78.05597954802215
15,10.9,69.46698466101661
16,28.7,64.15023849576245
17,21.1,67.21267887182185
18,72.4,71.98450915386638
19,12.1,67.96338186539978
