,Singapore,Kenya,"Congo, Dem. Rep.",Slovenia,Saudi Arabia,Japan,Portugal,Estonia,Nepal,Djibouti,Cyprus,Upper-middle-income Countries,Canada,Peru,United Kingdom,"Gambia, The",Gabon,Qatar,OECD members,Azerbaijan,Weight
Goal 1 Score,1.7,66.3,97.3,0.2,8.3,0.8,0.4,0.1,63.2,50.6,0.1,25.7,0.4,17.7,0.4,44.3,15.6,8.3,3.3,0,6.137565309
Goal 2 Score,23.5,43.6,57.2,34.3,44.2,24.5,37,33.9,49.9,60.9,39.5,31.6,32.4,37.2,27.5,47.9,47.5,30.4,29.7,48.3,6.430182294
Goal 3 Score,10.3,58.2,63.3,14.2,22.9,6.6,14.1,11.8,53.2,47.9,8.9,34,6.6,28.5,15.2,56.3,51.8,23.6,13.7,44.1,6.873768835
Goal 4 Score,2.2,46.1,43.9,6,34.3,1.9,3.9,4,43.1,83.7,2.3,15.1,0.8,12,2.7,57.8,35.3,11.9,6.4,48.4,7.059964575
Goal 5 Score,37.3,40.3,59.8,36.4,73.6,41.9,26.1,24.7,48,75.1,29.4,33.7,19.6,33.8,27.8,67.6,52.8,49.7,33.5,53.5,6.425577931
Goal 6 Score,23,54.2,56.9,12.6,44.8,14.4,21,16.6,39.3,43,30.5,33.6,12.7,23.5,6.2,40.7,39.2,45.9,16.2,46.5,7.075343916
Goal 7 Score,29.8,44.9,47.8,24.6,35.6,29.4,22.5,24.1,48.3,77.5,27.6,36.7,22,28.8,31.1,59.5,19.2,38.6,28.6,40,6.225349022
Goal 8 Score,30,34.8,46.1,16.2,35.8,15.7,24.7,15.7,33.9,50.9,25.7,32,18.2,38,21.8,33.6,44.4,29.8,23.6,40.1,7.367894142
Goal 9 Score,23.9,89.2,89.4,55.8,78.7,6.5,59.3,23.5,89.5,78.6,27.3,65.5,13.6,78.3,26.3,89.1,71.3,78.9,27.6,87.9,6.596893003
Goal 10 Score,36.1,58.5,57,0,24,19.5,32.2,10.3,35.3,55.6,16.6,73.5,14.1,71.3,28.2,30.9,44.1,24,36.5,25.4,4.424418989
Goal 11 Score,6,47.1,59.3,19.4,48.5,16.2,10.6,8,64.8,39.6,22.1,30.2,9.4,30.5,12.3,35.5,46.8,69.1,15.5,30.3,6.152053792
Goal 12 Score,41.4,3.9,2.1,35.8,25.4,32.1,27.1,34.8,1.6,5.5,30.5,10.2,38.8,8.3,33.6,2.8,9.3,23.7,28.4,8.8,-8.583290316
Goal 13 Score,49.6,1.7,0.6,43.1,52.6,38.9,23.3,54,1.1,11.7,35.2,10.7,71.8,6.4,48.6,1.4,14.1,100,44.9,19.2,-5.966433208
Goal 14 Score,55.9,26.5,21.2,45.9,32.1,43.7,59.9,21.4,39.2,43.2,51.6,41.8,37,28.9,27.6,32.5,33.4,23.1,41.4,41.1,-3.028175833
Goal 15 Score,60.8,39.9,29.6,17,48.6,35,33.9,3.9,32,61.4,24.4,46.7,39.4,44.6,14.4,15,17.4,27.3,35,39.3,2.505015131
Goal 16 Score,10.8,42.3,60.3,16.1,31,12.7,18.9,12.6,43.9,42,18.3,38.4,14.4,42.5,15.8,48.3,53.2,19.2,24,28.2,6.455698343
Goal 17 Score,64.3,49.1,58.3,39.1,40.9,34.2,36.6,49.7,54.3,53.8,54.4,50.7,28,44.8,55.7,55.9,60.9,65.2,34.2,32.5,3.195772273
