,Goal 1 Score,Goal 2 Score,G3',Goal 4 Score,Goal 5 Score,G6',Goal 7 Score,Goal 8 Score,Goal 10 Score,Goal 11 Score,G12',Goal 13 Score,Goal 14 Score,Goal 15 Score,Goal 16 Score,Goal 17 Score
Goal 1 Score,1.0,0.7065223034426805,0.708169908495633,0.6930990004650532,0.494159171802582,0.7167625821509461,0.6837610300897211,0.6278791886729636,0.5774856858210682,0.6642127623680827,-0.752067758064343,-0.6534999230516262,-0.38276715050037735,0.12425332817510654,0.8138742005035782,0.38229799710499657
Goal 2 Score,0.7065223034426805,1.0,0.7610313883036159,0.8888001123730784,0.7067174527396646,0.7621795093407535,0.6746104275485278,0.794185276280628,0.3240975713195119,0.6073458029416005,-0.7603931028913089,-0.6271286133897875,-0.20728823433006618,0.0867519584407756,0.782355716735756,0.18011798967641016
G3',0.708169908495633,0.7610313883036159,1.0,0.787405882469419,0.677755693544657,0.999651789681646,0.6226112455500535,0.7569502152737105,0.46846664782709035,0.8100203552600638,-0.9885170674347078,-0.5674429893582394,-0.35367064173291207,0.12137324287120042,0.7967571175123989,0.26650195043370983
Goal 4 Score,0.6930990004650532,0.8888001123730784,0.787405882469419,1.0,0.8334821410766889,0.7900989276159812,0.8606432405037027,0.8113651421107173,0.40018312105389053,0.6044682673915778,-0.7938157781912675,-0.5934439432789543,-0.2195532850766908,0.244567984030601,0.7435630130463914,0.22998935406280493
Goal 5 Score,0.494159171802582,0.7067174527396646,0.677755693544657,0.8334821410766889,1.0,0.6770890211340218,0.7309276716923877,0.728349310036038,0.21371291317871552,0.6547454870302699,-0.663869864164237,-0.3072947455448868,-0.2092149604990371,0.25352500311426074,0.6014160141233663,0.2843513910214545
G6',0.7167625821509461,0.7621795093407535,0.999651789681646,0.7900989276159812,0.6770890211340218,1.0,0.6276719480951687,0.7528151518279228,0.4638461831704503,0.8095201765151893,-0.9921504642992495,-0.5707221909931264,-0.3589337554405495,0.11821964241448085,0.7967646921221858,0.2639827182171746
Goal 7 Score,0.6837610300897211,0.6746104275485278,0.6226112455500535,0.8606432405037027,0.7309276716923877,0.6276719480951687,1.0,0.6231807072919442,0.38209079002305846,0.5049671295166215,-0.6440454002176691,-0.4329455615804793,-0.16343312273341049,0.32552233857840296,0.5328370604699322,0.3114599707186444
Goal 8 Score,0.6278791886729636,0.794185276280628,0.7569502152737105,0.8113651421107173,0.728349310036038,0.7528151518279228,0.6231807072919442,1.0,0.6777041842147203,0.6500421575390216,-0.7241693922966902,-0.571723547769731,-0.18746086834204914,0.41780549271331907,0.8207350609936658,0.40776543715522595
Goal 10 Score,0.5774856858210682,0.3240975713195119,0.46846664782709035,0.40018312105389053,0.21371291317871552,0.4638461831704503,0.38209079002305846,0.6777041842147203,1.0,0.3491695867550954,-0.4370168628071731,-0.6272895898907452,-0.16433494135128127,0.48588709423661414,0.6929878902334943,0.29337328409490393
Goal 11 Score,0.6642127623680827,0.6073458029416005,0.8100203552600638,0.6044682673915778,0.6547454870302699,0.8095201765151893,0.5049671295166215,0.6500421575390216,0.3491695867550954,1.0,-0.7974915562576707,-0.23932114525684875,-0.48069553899872103,0.05246833579100043,0.6917764626317342,0.45241948050544284
G12',-0.752067758064343,-0.7603931028913089,-0.9885170674347078,-0.7938157781912675,-0.663869864164237,-0.9921504642992495,-0.6440454002176691,-0.7241693922966902,-0.4370168628071731,-0.7974915562576707,1.0,0.5837477372813848,0.37789213161853835,-0.09819102920556777,-0.7895352345581663,-0.25105635809743526
Goal 13 Score,-0.6534999230516262,-0.6271286133897875,-0.5674429893582394,-0.5934439432789543,-0.3072947455448868,-0.5707221909931264,-0.4329455615804793,-0.571723547769731,-0.6272895898907452,-0.23932114525684875,0.5837477372813848,1.0,-0.04993578800610934,-0.11846457712644136,-0.7600629005765454,-0.08536090032129916
Goal 14 Score,-0.38276715050037735,-0.20728823433006618,-0.35367064173291207,-0.2195532850766908,-0.2092149604990371,-0.3589337554405495,-0.16343312273341049,-0.18746086834204914,-0.16433494135128127,-0.48069553899872103,0.37789213161853835,-0.04993578800610934,1.0,0.380569862988332,-0.38144101550560255,-0.26701197951903033
Goal 15 Score,0.12425332817510654,0.0867519584407756,0.12137324287120042,0.244567984030601,0.25352500311426074,0.11821964241448085,0.32552233857840296,0.41780549271331907,0.48588709423661414,0.05246833579100043,-0.09819102920556777,-0.11846457712644136,0.380569862988332,1.0,0.07794641144902117,-0.1129071058808815
Goal 16 Score,0.8138742005035782,0.782355716735756,0.7967571175123989,0.7435630130463914,0.6014160141233663,0.7967646921221858,0.5328370604699322,0.8207350609936658,0.6929878902334943,0.6917764626317342,-0.7895352345581663,-0.7600629005765454,-0.38144101550560255,0.07794641144902117,1.0,0.33628056530112593
Goal 17 Score,0.38229799710499657,0.18011798967641016,0.26650195043370983,0.22998935406280493,0.2843513910214545,0.2639827182171746,0.3114599707186444,0.40776543715522595,0.29337328409490393,0.45241948050544284,-0.25105635809743526,-0.08536090032129916,-0.26701197951903033,-0.1129071058808815,0.33628056530112593,1.0
